start_node;end_node;x_pos;y_pos
8626;8628;3634.24000000;3157.29000000
8624;8626;3472.59000000;3158.72000000
8622;8624;3234.99000000;3160.84000000
8620;8622;2685.84000000;3165.71000000
8618;8620;2247.58000000;3392.19000000
8616;8618;1767.49000000;3352.16000000
8602;8616;1279.41000000;3228.00000000
8600;8602;1066.77000000;3157.41000000
8598;8600;748.39000000;3161.39000000
8628;8644;3474.32000000;2349.32000000
8646;8648;3677.75000000;1671.78000000
8644;8646;3563.72000000;2044.70000000
8686;8640;4856.50000000;2726.75000000
8684;8686;5083.20000000;2578.38000000
8682;8684;5472.59000000;2504.30000000
8648;8650;3742.76000000;1459.98000000
8650;8652;3884.16000000;1012.40000000
8652;8654;4116.18000000;678.01000000
8654;8656;4934.70000000;493.70000000
8656;8658;5389.15000000;396.38000000
8680;8682;5633.43000000;2314.61000000
8658;8660;5830.15000000;299.88000000
8672;8722;6603.23000000;1368.74000000
8678;8680;5720.73000000;2142.34000000
8660;8666;6134.91000000;695.72000000
8666;8668;6046.78000000;1002.14000000
8668;8670;6296.99000000;1149.52000000
8670;8672;6338.31000000;1368.00000000
8638;8640;4866.50000000;2726.75000000
8628;8630;4298.84000000;3131.27000000
8636;8638;4891.22000000;2743.28000000
8630;8632;4799.05000000;3126.96000000
8634;8636;4924.98000000;2901.58000000
8632;8634;5006.18000000;3125.18000000
8676;8678;5948.44000000;1943.57000000
8674;8676;6048.43000000;1824.95000000
8672;8674;6329.53000000;1468.29000000
8640;8642;4774.20000000;2681.40000000
8700;8648;3687.75000000;1671.78000000
8596;8598;573.25000000;3084.96000000
8698;8700;3986.90000000;1771.14000000
8722;8724;6723.30000000;1369.24000000
8696;8698;4285.98000000;1847.01000000
8598;8604;572.25000000;2736.73000000
9410;8596;408.35000000;3082.78000000
8724;8726;6938.60000000;1370.13000000
8642;8690;4813.18000000;2596.95000000
8694;8696;4512.62000000;1848.32000000
8690;8692;4744.82000000;2364.13000000
8692;8694;4516.18000000;1957.82000000
4922;9410;371.61000000;628.61000000
8604;8606;571.89000000;2609.21000000
8696;8702;4351.27000000;1605.62000000
8606;8608;571.10000000;2335.64000000
8702;8704;4360.54000000;1197.22000000
8678;8716;6459.42000000;2146.16000000
8710;8682;5643.43000000;2314.61000000
8726;8728;7158.59000000;1430.81000000
9402;4922;370.01000000;377.17000000
8608;8610;569.89000000;1913.82000000
8704;8706;4649.54000000;1072.95000000
8716;8718;6840.57000000;2459.17000000
8710;8712;6080.86000000;2806.55000000
8728;8730;7160.71000000;1908.42000000
8722;8734;6724.86000000;1178.59000000
8610;8612;568.73000000;1511.07000000
1;9402;278.60000000;376.69000000
8642;8688;4516.57000000;2642.38000000
8718;8720;6840.57000000;2488.19000000
8706;8708;4706.27000000;1091.61000000
8660;8662;5850.04000000;295.50000000
8730;8732;7160.83000000;1940.54000000
8712;8714;6108.18000000;2823.15000000
8734;8792;6956.60000000;711.26000000
8736;8726;6948.60000000;1370.13000000
8792;8736;6940.32000000;1137.64000000
1;7384;0.16000000;873.41000000
8612;8614;567.79000000;1184.46000000
5656;4922;380.01000000;377.17000000
8688;8738;4270.86000000;2366.20000000
8720;8744;6803.37000000;2751.32000000
8708;8740;4863.53000000;1093.64000000
8662;8664;5882.03000000;288.44000000
8732;8746;7200.50000000;1984.76000000
8714;8742;6531.43000000;2806.07000000
